Season,Class,Circuit,Rider's Nation
1977,125cc,Imola,ITALY
1976,125cc,Salzburgring,ITALY
1975,500cc,Anderstorp,GREAT BRITAIN
1975,125cc,Anderstorp,ITALY
1975,250cc,Isle of Man,GREAT BRITAIN
1975,500cc,Isle of Man,GREAT BRITAIN
1974,500cc,Isle of Man,GREAT BRITAIN
1974,350cc,Isle of Man,GREAT BRITAIN
1974,250cc,Isle of Man,GREAT BRITAIN
1974,125cc,Nurburgring,GERMANY
1974,500cc,Nurburgring,GERMANY
1974,250cc,Nurburgring,GERMANY
1973,250cc,Isle of Man,GREAT BRITAIN
1972,125cc,Isle of Man,GREAT BRITAIN
1972,250cc,Isle of Man,GREAT BRITAIN
1972,500cc,Imola,ITALY
1971,350cc,Isle of Man,GREAT BRITAIN
1971,250cc,Isle of Man,GREAT BRITAIN
1970,350cc,Monza,ITALY
1970,500cc,Monza,ITALY
1970,500cc,TT Circuit Assen,ITALY
1970,500cc,Opatija,ITALY
1968,350cc,Monza,ITALY
1968,500cc,Monza,ITALY
1967,125cc,Belfast,GREAT BRITAIN
1967,250cc,Imatra,GREAT BRITAIN
1967,125cc,Imatra,GREAT BRITAIN
1967,250cc,Automotodrom Brno,GREAT BRITAIN
1967,125cc,Sachsenring,GREAT BRITAIN
1967,125cc,TT Circuit Assen,GREAT BRITAIN
1967,500cc,Isle of Man,GREAT BRITAIN
1967,250cc,Clermont-Ferrand,GREAT BRITAIN
1966,350cc,Monza,ITALY
1966,250cc,Isle of Man,GREAT BRITAIN
1965,350cc,Monza,ITALY
1964,500cc,Isle of Man,GREAT BRITAIN
1964,500cc,Daytona,GREAT BRITAIN
1963,500cc,Sachsenring,GREAT BRITAIN
1963,500cc,Belfast,GREAT BRITAIN
1963,500cc,Spa-Francorchamps,GREAT BRITAIN
1963,500cc,TT Circuit Assen,GREAT BRITAIN
1963,500cc,Isle of Man,GREAT BRITAIN
1962,500cc,Oscar A. Galvez,ARGENTINA
1962,500cc,Belfast,GREAT BRITAIN
1962,500cc,Spa-Francorchamps,GREAT BRITAIN
1962,500cc,TT Circuit Assen,GREAT BRITAIN
1960,500cc,Belfast,GREAT BRITAIN
1960,500cc,Isle of Man,GREAT BRITAIN
1960,350cc,Isle of Man,GREAT BRITAIN
1959,500cc,Belfast,GREAT BRITAIN
1959,350cc,Isle of Man,GREAT BRITAIN
1958,250cc,Monza,ITALY
1958,350cc,Monza,GREAT BRITAIN
1958,125cc,Monza,ITALY
1958,350cc,Belfast,GREAT BRITAIN
1958,500cc,Belfast,GREAT BRITAIN
1958,350cc,Hedemora,GREAT BRITAIN
1958,500cc,Hedemora,GREAT BRITAIN
1958,350cc,Nurburgring,GREAT BRITAIN
1958,125cc,Spa-Francorchamps,ITALY
1958,500cc,TT Circuit Assen,GREAT BRITAIN
1958,350cc,Isle of Man,GREAT BRITAIN
1957,250cc,Monza,ITALY
1957,125cc,Hockenheim,ITALY
1956,125cc,Monza,ITALY
1956,250cc,Monza,ITALY
1956,350cc,Belfast,GREAT BRITAIN
1956,125cc,Solitude,ITALY
1956,500cc,Isle of Man,GREAT BRITAIN
1955,125cc,Monza,ITALY
1955,500cc,Belfast,GREAT BRITAIN
1955,350cc,Belfast,GREAT BRITAIN
1955,350cc,Isle of Man,GREAT BRITAIN
1954,125cc,Monza,ITALY
1954,250cc,Belfast,GERMANY
1952,125cc,Belfast,GREAT BRITAIN
1952,250cc,Solitude,GERMANY
1951,500cc,Monza,ITALY
1951,125cc,Monza,ITALY
1951,350cc,Albi,GREAT BRITAIN
1951,350cc,Spa-Francorchamps,GREAT BRITAIN
1951,350cc,Isle of Man,GREAT BRITAIN
1951,250cc,Berne,ITALY
1951,125cc,Montjuïc,ITALY
1951,350cc,Montjuïc,GREAT BRITAIN
1950,125cc,Monza,ITALY
1950,500cc,Belfast,GREAT BRITAIN
1950,350cc,Berne,GREAT BRITAIN
1950,350cc,TT Circuit Assen,GREAT BRITAIN
1950,125cc,TT Circuit Assen,ITALY
1949,250cc,Monza,ITALY
1949,125cc,Monza,ITALY
1949,350cc,Spa-Francorchamps,GREAT BRITAIN
1949,350cc,TT Circuit Assen,GREAT BRITAIN
1949,125cc,TT Circuit Assen,ITALY
1949,350cc,Berne,GREAT BRITAIN
1949,125cc,Berne,ITALY
