Season,Category,Circuit,Rider,Country,Constructor
2014,MotoGP,Circuit Of The Americas,Marc Marquez,SPAIN,Honda
2014,Moto2,Circuit Of The Americas,Maverick Viñales,SPAIN,Kalex
2014,Moto3,Circuit Of The Americas,Jack Miller,AUSTRALIA,KTM
2014,MotoGP,Losail International Circuit,Marc Marquez,SPAIN,Honda
2014,Moto2,Losail International Circuit,Tito Rabat,SPAIN,Kalex
2014,Moto3,Losail International Circuit,Jack Miller,AUSTRALIA,KTM
2013,MotoGP,Circuit Ricardo Tormo,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Circuit Ricardo Tormo,Nicolas Terol,SPAIN,Suter
2013,Moto3,Circuit Ricardo Tormo,Maverick Viñales,SPAIN,KTM
2013,MotoGP,Twin Ring Motegi,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Twin Ring Motegi,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Twin Ring Motegi,Alex Marquez,SPAIN,KTM
2013,MotoGP,Phillip Island,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Phillip Island,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Phillip Island,Alex Rins,SPAIN,KTM
2013,MotoGP,Sepang International Circuit,Dani Pedrosa,SPAIN,Honda
2013,Moto2,Sepang International Circuit,Tito Rabat,SPAIN,Kalex
2013,Moto3,Sepang International Circuit,Luis Salom,SPAIN,KTM
2013,MotoGP,MotorLand Aragón,Marc Marquez,SPAIN,Honda
2013,Moto2,MotorLand Aragón,Nicolas Terol,SPAIN,Suter
2013,Moto3,MotorLand Aragón,Alex Rins,SPAIN,KTM
2013,MotoGP,Misano World Circuit Marco Simoncelli,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Misano World Circuit Marco Simoncelli,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Misano World Circuit Marco Simoncelli,Alex Rins,SPAIN,KTM
2013,MotoGP,Silverstone Circuit,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Silverstone Circuit,Scott Redding,GREAT BRITAIN,Kalex
2013,Moto3,Silverstone Circuit,Luis Salom,SPAIN,KTM
2013,MotoGP,Automotodrom Brno,Marc Marquez,SPAIN,Honda
2013,Moto2,Automotodrom Brno,Mika Kallio,FINLAND,Kalex
2013,Moto3,Automotodrom Brno,Luis Salom,SPAIN,KTM
2013,MotoGP,Indianapolis Motor Speedway,Marc Marquez,SPAIN,Honda
2013,Moto2,Indianapolis Motor Speedway,Tito Rabat,SPAIN,Kalex
2013,Moto3,Indianapolis Motor Speedway,Alex Rins,SPAIN,KTM
2013,MotoGP,Mazda Raceway,Marc Marquez,SPAIN,Honda
2013,MotoGP,Sachsenring,Marc Marquez,SPAIN,Honda
2013,Moto2,Sachsenring,Jordi Torres,SPAIN,Suter
2013,Moto3,Sachsenring,Alex Rins,SPAIN,KTM
2013,MotoGP,TT Circuit Assen,Valentino Rossi,ITALY,Yamaha
2013,Moto2,TT Circuit Assen,Pol Espargaro,SPAIN,Kalex
2013,Moto3,TT Circuit Assen,Luis Salom,SPAIN,KTM
2013,MotoGP,Circuit de Barcelona-Catalunya,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Circuit de Barcelona-Catalunya,Pol Espargaro,SPAIN,Kalex
2013,Moto3,Circuit de Barcelona-Catalunya,Luis Salom,SPAIN,KTM
2013,MotoGP,Autodromo Internazionale del Mugello,Jorge Lorenzo,SPAIN,Yamaha
2013,Moto2,Autodromo Internazionale del Mugello,Scott Redding,GREAT BRITAIN,Kalex
2013,Moto3,Autodromo Internazionale del Mugello,Luis Salom,SPAIN,KTM
2013,MotoGP,Le Mans,Dani Pedrosa,SPAIN,Honda
2013,Moto2,Le Mans,Scott Redding,GREAT BRITAIN,Kalex
2013,Moto3,Le Mans,Maverick Viñales,SPAIN,KTM
2013,MotoGP,Circuito de Jerez - Angel Nieto,Dani Pedrosa,SPAIN,Honda
2013,Moto2,Circuito de Jerez - Angel Nieto,Tito Rabat,SPAIN,Kalex
2013,Moto3,Circuito de Jerez - Angel Nieto,Maverick Viñales,SPAIN,KTM
2013,MotoGP,Circuit Of The Americas,Marc Marquez,SPAIN,Honda
2013,Moto2,Circuit Of The Americas,Nicolas Terol,SPAIN,Suter
