Season,Category,Constructor
1975,125cc,Morbidelli
1975,500cc,Yamaha
1974,50cc,Kreidler
1974,500cc,Yamaha
1974,250cc,Yamaha
1974,350cc,Yamaha
1974,125cc,Yamaha
1973,50cc,Kreidler
1973,250cc,Yamaha
1973,500cc,MV Agusta
1973,350cc,Yamaha
1973,125cc,Yamaha
1972,50cc,Kreidler
1972,125cc,Derbi
1972,500cc,MV Agusta
1972,250cc,Yamaha
1972,350cc,MV Agusta
1971,50cc,Kreidler
1971,125cc,Derbi
1971,500cc,MV Agusta
1971,350cc,MV Agusta
1971,250cc,Yamaha
1970,125cc,Suzuki
1970,500cc,MV Agusta
1970,50cc,Derbi
1970,350cc,MV Agusta
1970,250cc,Yamaha
1969,125cc,Kawasaki
1969,500cc,MV Agusta
1969,350cc,MV Agusta
1969,50cc,Derbi
1969,250cc,Benelli
1968,50cc,Suzuki
1968,500cc,MV Agusta
1968,350cc,MV Agusta
1968,250cc,Yamaha
1968,125cc,Yamaha
1967,50cc,Suzuki
1967,500cc,MV Agusta
1967,250cc,Honda
1967,350cc,Honda
1967,125cc,Yamaha
1966,500cc,Honda
1966,250cc,Honda
1966,50cc,Honda
1966,350cc,Honda
1966,125cc,Honda
1965,125cc,Suzuki
1965,50cc,Honda
1965,350cc,Honda
1965,500cc,MV Agusta
1965,250cc,Yamaha
1964,50cc,Suzuki
1964,350cc,Honda
1964,125cc,Honda
1964,500cc,MV Agusta
1964,250cc,Yamaha
1963,50cc,Suzuki
1963,125cc,Suzuki
1963,250cc,Honda
1963,350cc,Honda
1963,500cc,MV Agusta
1962,50cc,Suzuki
1962,250cc,Honda
1962,350cc,Honda
1962,125cc,Honda
1962,500cc,MV Agusta
1961,250cc,Honda
1961,125cc,Honda
1961,500cc,MV Agusta
1961,350cc,MV Agusta
1960,500cc,MV Agusta
1960,250cc,MV Agusta
1960,350cc,MV Agusta
1960,125cc,MV Agusta
1959,250cc,MV Agusta
1959,350cc,MV Agusta
1959,125cc,MV Agusta
1959,500cc,MV Agusta
1958,500cc,MV Agusta
1958,250cc,MV Agusta
1958,350cc,MV Agusta
1958,125cc,MV Agusta
1957,500cc,Gilera
1957,350cc,Gilera
1957,250cc,Mondial
1957,125cc,Mondial
1956,500cc,MV Agusta
1956,250cc,MV Agusta
1956,125cc,MV Agusta
1956,350cc,Moto Guzzi
1955,500cc,Gilera
1955,250cc,MV Agusta
1955,125cc,MV Agusta
1955,350cc,Moto Guzzi
1954,250cc,NSU - Not Recognized
1954,125cc,NSU - Not Recognized
1954,350cc,Moto Guzzi - Not Recognized
1954,500cc,Gilera - Not Recognized
1953,500cc,Gilera
1953,250cc,NSU
1953,125cc,MV Agusta
1953,350cc,Moto Guzzi
1952,125cc,MV Agusta
1952,250cc,Moto Guzzi
1952,500cc,Norton
1952,350cc,Norton
1951,125cc,Mondial
1951,250cc,Moto Guzzi
1951,500cc,Norton
1951,350cc,Norton
1950,350cc,Velocette
1950,125cc,Mondial
1950,250cc,Benelli
1950,500cc,Norton
1949,500cc,AJS
1949,350cc,Velocette
1949,125cc,Mondial
1949,250cc,Moto Guzzi
